Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2021-09-16,"Sep 16, 2021",148.44,148.97,147.22,148.79,148.57,68034149
2021-09-15,"Sep 15, 2021",148.56,149.44,146.37,149.03,148.81,83281315
2021-09-14,"Sep 14, 2021",150.35,151.07,146.91,148.12,147.9,109296295
2021-09-13,"Sep 13, 2021",150.63,151.42,148.75,149.55,149.33,102404329
2021-09-10,"Sep 10, 2021",155.00,155.48,148.70,148.97,148.75,140893235
2021-09-09,"Sep 09, 2021",155.49,156.11,153.95,154.07,153.85,57305730
2021-09-08,"Sep 08, 2021",156.98,157.04,153.98,155.11,154.88,74420207
2021-09-07,"Sep 07, 2021",154.97,157.26,154.39,156.69,156.46,82278261
2021-09-03,"Sep 03, 2021",153.76,154.63,153.09,154.30,154.08,57866066
2021-09-02,"Sep 02, 2021",153.87,154.72,152.40,153.65,153.43,71171317
2021-09-01,"Sep 01, 2021",152.83,154.98,152.34,152.51,152.29,80313711
2021-08-31,"Aug 31, 2021",152.66,152.80,151.29,151.83,151.61,86453117
2021-08-30,"Aug 30, 2021",149.00,153.49,148.61,153.12,152.9,90956723
2021-08-27,"Aug 27, 2021",147.48,148.75,146.83,148.60,148.38,55802388
2021-08-26,"Aug 26, 2021",148.35,149.12,147.51,147.54,147.32,48597195
2021-08-25,"Aug 25, 2021",149.81,150.32,147.80,148.36,148.14,58991297
2021-08-24,"Aug 24, 2021",149.45,150.86,149.15,149.62,149.4,48606428
2021-08-23,"Aug 23, 2021",148.31,150.19,147.89,149.71,149.49,60131810
2021-08-20,"Aug 20, 2021",147.44,148.50,146.78,148.19,147.97,60549630
2021-08-19,"Aug 19, 2021",145.03,148.00,144.50,146.70,146.49,86960310
2021-08-18,"Aug 18, 2021",149.80,150.72,146.15,146.36,146.15,86325990
2021-08-17,"Aug 17, 2021",150.23,151.68,149.09,150.19,149.97,92229735
2021-08-16,"Aug 16, 2021",148.54,151.19,146.47,151.12,150.9,103558782
2021-08-13,"Aug 13, 2021",148.97,149.44,148.27,149.10,148.88,59375009
2021-08-12,"Aug 12, 2021",146.19,149.05,145.84,148.89,148.67,73779113
2021-08-11,"Aug 11, 2021",146.05,146.72,145.53,145.86,145.65,48493463
2021-08-10,"Aug 10, 2021",146.44,147.71,145.30,145.60,145.39,69023081
2021-08-09,"Aug 09, 2021",146.20,146.70,145.52,146.09,145.88,48908689
2021-08-06,"Aug 06, 2021",146.35,147.11,145.63,146.14,145.93,54126813
2021-08-05,"Aug 05, 2021",146.98,147.84,146.17,147.06,146.63,46397674
2021-08-04,"Aug 04, 2021",147.27,147.79,146.28,146.95,146.52,56368271
2021-08-03,"Aug 03, 2021",145.81,148.04,145.18,147.36,146.93,64786618
2021-08-02,"Aug 02, 2021",146.36,146.95,145.25,145.52,145.09,62879961
2021-07-30,"Jul 30, 2021",144.38,146.33,144.11,145.86,145.43,70440626
2021-07-29,"Jul 29, 2021",144.68,146.55,144.58,145.64,145.21,56699475
2021-07-28,"Jul 28, 2021",144.81,146.97,142.54,144.98,144.55,118931191
2021-07-27,"Jul 27, 2021",149.12,149.21,145.55,146.77,146.34,104818578
2021-07-26,"Jul 26, 2021",148.27,149.83,147.70,148.99,148.55,72434089
